"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8D4MFW9K","journalArticle","2013","Krook, Mona Lena","Electoral Gender Quotas: A Conceptual Analysis","Comparative Political Studies","","0010-4140","10.1177/0010414013495359","https://doi.org/10.1177/0010414013495359","Electoral gender quotas have become the subject of a growing literature in comparative politics, with the potential to affect how scholars study a wide range of electoral and representative processes. Yet, debates have emerged over how to define and categorize these policies, with implications for the ability to compare cases and draw broader conclusions about their impact in countries around the globe. Reviewing these perspectives, this article draws on work on concept formation to propose a pragmatic approach, focused on matching typologies to research questions. It emphasizes the advantages of this solution for promoting cumulative research and concludes with some thoughts for future research on gender quotas and comparative politics.","2013-07-19","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1268-1293","","9","47","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46NJ3QJX","journalArticle","2016","McDonnell, Erin Metz","Conciliatory States: Elite Ethno-Demographics and the Puzzle of Public Goods Within Diverse African States","Comparative Political Studies","","0010-4140","10.1177/0010414015626441","https://doi.org/10.1177/0010414015626441","Existing theory associates ethnolinguistic diversity with a host of negative outcomes. This article analyzes the puzzle of Ghana, the 12th most diverse state globally, yet among the most peaceful, democratic, and developed African states. It argues the position of post-independence political elites within ethno-demographic structures helps explain why some diverse African states pursued broad nation-building public goods, mitigating the political salience of diversity. Diversity encouraged provision of social goods with broad-based support in states with a modest plurality?not large enough to dominate, but without proximately sized ethnic groups?especially for leaders from a minority. Comparative historical analysis of Ghana is expanded with abbreviated case studies on Guinea, Togo, and Kenya.","2016-02-11","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1513-1549","","11","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXXYHT5G","journalArticle","2017","Davies, Emmerich; Falleti, Tulia G.","Poor People’s Participation: Neoliberal Institutions or Left Turn?","Comparative Political Studies","","0010-4140","10.1177/0010414016688002","https://doi.org/10.1177/0010414016688002","While comparative political studies of voting and protest abound, little attention has been paid to nonelectoral and noncontentious participation, particularly at the local level. Who participates in local associations and why? We study the individual-level determinants of local civic participation in Bolivia to ask: Does local engagement reproduce the high socioeconomic bias predicted by resource theory? Did the left turn in government change the predictors of participation? Contrary to expectations, we find there is no high-class bias in Bolivia?s local civic engagement. Moreover, the levels and predictors of local civic engagement have not changed after the left turn. We contribute to the comparative politics literature by conceptualizing local programmatic participation and showing that the resource theory does not apply to this type of participation in a developing context. We argue that need?rather than plenty?prompts people to participate. Our findings are relevant to participation studies in developing societies.","2017-01-30","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1699-1731","","12","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HM9AIFB","journalArticle","2015","Thachil, Tariq; Teitelbaum, Emmanuel","Ethnic Parties and Public Spending: New Theory and Evidence From the Indian States","Comparative Political Studies","","0010-4140","10.1177/0010414015576743","https://doi.org/10.1177/0010414015576743","Social scientists largely see ethnic politics as inhibiting public goods provisioning within developing democracies. Such parties are thought to uniformly rely on distributing excludable benefits to co-ethnics, rather than on providing public goods to all. We argue that ethnic parties can vary substantially in how they mobilize support and behave in office. Much of this variation depends on the breadth of the identity they activate. Although ?narrow? ethnic parties do indeed entrench patronage politics, the rise of more ?encompassing? ethnic parties can actually improve levels of voter autonomy, expand the effective size of winning coalitions, and increase spending on broadly available public goods. We develop and test this argument with evidence from the Indian states, including a nationally representative survey of 20,000 Indian voters and a panel data set of 15 major states over four decades.","2015-04-21","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1389-1420","","11","48","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6S7KVXM","journalArticle","2018","Ulbricht, Tom","Perceptions and Conceptions of Democracy: Applying Thick Concepts of Democracy to Reassess Desires for Democracy","Comparative Political Studies","","0010-4140","10.1177/0010414018758751","https://doi.org/10.1177/0010414018758751","Previous research has found evidence of an almost universal public desire for democracy, even in autocratic regimes. However, a single word may evoke different associations for different people. As such, the term democracy is unlikely to trigger the same or equivalent associations between different people. Inspired by the Anchoring Vignettes Approach, I qualify people?s stated desire for democracy with their representative, direct, social, or authoritarian perception of democracy. Using the Analytical Hierarchy Process, I obtain idealized priorities of institutional configurations to determine the membership a specific perception has with regard to a procedural-liberal, participatory-liberal, or social-liberal normative benchmark. I perform a mixed-model analysis on World Values Survey Wave 5 data to test the empirical consequences of my conceptual calibration concerning explanatory factors for people?s democratic desires. Popular support for representative democracy has been consistently overstated, particularly in nondemocratic countries. The design of political institutions is the most important factor in predicting a person?s actual desire for democracy.","2018-05-10","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1387-1440","","11","51","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NAVFRBN","journalArticle","2017","Gottlieb, Jessica","Explaining Variation in Broker Strategies: A Lab-in-the-Field Experiment in Senegal","Comparative Political Studies","","0010-4140","10.1177/0010414017695336","https://doi.org/10.1177/0010414017695336","The implications of clientelism for democratic accountability are mixed: Brokers not only help coordinate votes for collective gain but also exploit their position to advance personal interest. I argue that brokers use distinct strategies?persuasion, reciprocation, and punishment?to motivate voters as a function of their local institutional context. Competitively selected brokers whose preferences are aligned with those of followers can rely more on persuasion than instrumental inducements. Economically autonomous brokers are more likely to rely on sanctions than reciprocity. Evidence to support both the proposed typology of broker strategies and their determinants is collected in Senegal, a clientelistic democracy where group-level heterogeneity generates natural variation in broker types. A coordination game played with real brokers illustrates that participants are less likely to sacrifice personal gain when brokers are competitively selected, more likely when they most fear retribution. Qualitative data suggest that results from the laboratory game plausibly generalize to behavior in elections.","2017-04-10","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1556-1592","","11","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBWDR7C9","journalArticle","2014","Bustikova, Lenka","Revenge of the Radical Right","Comparative Political Studies","","0010-4140","10.1177/0010414013516069","https://doi.org/10.1177/0010414013516069","What explains the success and failure of radical right parties over time and across countries? This article presents a new theory of the radical right that emphasizes its reactive nature and views it as backlash against the political successes of minorities and concessions extracted on their behalf. Unlike approaches that focus on competition between the extreme and mainstream parties, the theory stresses the dynamics between radical right and non-proximate parties that promote minority rights. Most notably, it derives the salience of identity issues in party politics from the polarization of the party system. The theory is tested with a new party-election-level dataset covering all post-communist democracies over the past 20 years. The results provide strong support for the theory and show that the rise and fall of radical right parties is shaped by the politics of minority accommodation.","2014-02-09","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","1738-1765","","12","47","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AYMWBCS","journalArticle","2013","Vatter, Adrian; Flinders, Matthew; Bernauer, Julian","A Global Trend Toward Democratic Convergence? A Lijphartian Analysis of Advanced Democracies","Comparative Political Studies","","0010-4140","10.1177/0010414013488553","https://doi.org/10.1177/0010414013488553","The article offers a systematic analysis of the comparative trajectory of international democratic change. In particular, it focuses on the resulting convergence or divergence of political systems, borrowing from the literatures on institutional change and policy convergence. To this end, political-institutional data in line with Arend Lijphart?s (1999, 2012) empirical theory of democracy for 24 developed democracies between 1945 and 2010 are analyzed. Heteroscedastic multilevel models allow for directly modeling the development of the variance of types of democracy over time, revealing information about convergence, and adding substantial explanations. The findings indicate that there has been a trend away from extreme types of democracy in single cases, but no unconditional trend of convergence can be observed. However, there are conditional processes of convergence. In particular, economic globalization and the domestic veto structure interactively influence democratic convergence.","2013-05-29","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","903-929","","6","47","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCLRUNSH","journalArticle","2015","Helbling, Marc; Traunmüller, Richard","How State Support of Religion Shapes Attitudes Toward Muslim Immigrants: New Evidence From a Sub-National Comparison","Comparative Political Studies","","0010-4140","10.1177/0010414015612388","https://doi.org/10.1177/0010414015612388","This article argues that governments play a considerable role in shaping citizens? attitudes toward Muslim immigrants through the way they regulate religion. European democracies are far from secular, and matters of religious regulation cannot be reduced to abstract values or constitutional clauses. Under conditions of high state support of religion, accommodating new religious minorities involves not only the changing of existing rules but also giving up on long-standing traditions and everyday habits. As a result, citizens see religious newcomers as a threat to their way of life and react with animosity to their practices and demands. We support our argument by combining newly designed survey items with original data on religious regulation in 26 Swiss cantons. Our findings contradict the extant literature and have important implications for the democratic challenges in Europe, the quality of modern immigration societies, and the role of religion in democracy more generally.","2015-11-18","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","391-424","","3","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHVRBUUQ","journalArticle","2016","Bell, Curtis","Coup d’État and Democracy","Comparative Political Studies","","0010-4140","10.1177/0010414015621081","https://doi.org/10.1177/0010414015621081","This article explains coup activity in democracies by adapting insights from the literature on commitment problems and framing coup around the threats leaders and potential coup plotters pose to each other. I claim democratic constraints on executive power inhibit a leader?s ability to repress threats from political rivals. Though this decreases motivations for coup attempts, it also makes democracies more vulnerable should a coup attempt occur. Consequently, democratic constraints on executive power do not reduce the frequency of coup attempts, but coups attempted against democracies are much more likely to succeed. Using several data sets of coup activity and democratic constraints, I find significant differences in coup activity in democracies and non-democracies. Relative to civilian non-democracies, democracies are about half as likely to use coup-related repression, but they face a similar frequency of coup attempts. Plots against democracies are nearly twice as likely to succeed.","2016-02-17","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","1167-1200","","9","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPVQZ75B","journalArticle","2016","Koopmans, Ruud; Michalowski, Ines","Why Do States Extend Rights to Immigrants? Institutional Settings and Historical Legacies Across 44 Countries Worldwide","Comparative Political Studies","","0010-4140","10.1177/0010414016655533","https://doi.org/10.1177/0010414016655533","In this article, we first test theories on immigrant rights across 29 countries from Europe, Africa, the Middle East, East Asia, Oceania, and the Americas, using our Indicators of Citizenship Rights for Immigrants (ICRI) data set. We focus on trajectories of nationhood and current institutional features to explain cross-national difference. We find that former colonial powers, former colonies that developed as settler countries, as well as democracies have been more likely to extend rights to immigrants. Strikingly, once we account for involvement in colonialism, we find no difference between supposedly ?civic-nationalist? early nation-states and supposedly ?ethnic-nationalist? latecomer nations, refuting a widely held belief in the literature on citizenship. We find no effect of a country?s degree of political globalization. We replicate these findings on a sample of 35 mainly European countries, using the migrant Integration Policy Index (MIPEX).","2016-06-24","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","41-74","","1","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BHTRHEU","journalArticle","2013","Eaton, Kent","Recentralization and the Left Turn in Latin America: Diverging Outcomes in Bolivia, Ecuador, and Venezuela","Comparative Political Studies","","0010-4140","10.1177/0010414013488562","https://doi.org/10.1177/0010414013488562","Over the past decade, leftist presidents in Latin America have sought to recentralize authority by reversing the decentralizing reforms that swept the region in the 1980s and 1990s. This article explains why subnational opposition elites were able to resist recentralization in Bolivia, but not in Venezuela or Ecuador. I argue that opposition mayors and governors increase the chance of success against the president if they can transcend their interelite policy struggles with him and mobilize average citizens against recentralization. In Bolivia, the concentration of subnational opposition victories in eastern lowland departments, which share a common regional identity and dense organizational networks, enabled governors to enlist societal support in defense of decentralization, ultimately forcing compromise upon the president. In Ecuador and Venezuela in contrast, the diffusion of opposition jurisdictions foreclosed the possibility of encouraging societal opposition through appeals to common regional identities, allowing presidents to proceed with recentralization unchecked.","2013-06-04","2018-11-27 13:16:39","2018-11-27 13:16:39","2018-11-27","1130-1157","","8","47","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRE6376E","journalArticle","2016","Esaiasson, Peter; Gilljam, Mikael; Persson, Mikael","Responsiveness Beyond Policy Satisfaction: Does It Matter to Citizens?","Comparative Political Studies","","0010-4140","10.1177/0010414015626445","https://doi.org/10.1177/0010414015626445","Can politicians facilitate citizen acceptance of unwelcome policy decisions by acting responsively during the decision-making process? We suggest a framework to analyze the responsiveness?acceptance connection and report findings from two studies designed for that purpose. First, we ran a survey experiment to examine how exogenously induced responsiveness actions affect reactions to a policy decision. Second, we conducted a case study to see how results hold up in a real-world setting. We find that responsiveness actions are rewarded provided that citizens are convinced that politicians have paid attention to their wishes and views. Responsiveness actions that signal willingness to communicate (?to listen? and ?to explain?) are more effective than the action to follow majority opinion (?to adapt?). However, the responsiveness?acceptance connection is sensitive to perceptual bias; policy losers are hard pressed to accept that politicians have indeed acted responsively.","2016-01-27","2018-11-27 13:17:46","2018-11-27 13:17:46","2018-11-27","739-765","","6","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8934WG9","journalArticle","2016","Maxwell, Rahsaan","Occupations, National Identity, and Immigrant Integration","Comparative Political Studies","","0010-4140","10.1177/0010414016655535","https://doi.org/10.1177/0010414016655535","This article examines strategies for immigrants to improve integration by exploring the relationship between occupational choice and assimilation. I ask whether immigrant-origin individuals will be viewed as better representatives of the nation when employed in occupations that reflect national identity. I examine this question with data from original surveys in France, Germany, and the United States. Results suggest that native and immigrant-origin individuals in occupations that reflect national identity are more likely to be seen as ideal representatives of the nation. Yet, the benefits of an occupation that reflects national identity are fairly minor for immigrant-origin individuals in France and Germany and roughly one third the size of the benefit for native-origin individuals. In comparison, native and immigrant-origin individuals in the United States have the same increase in likelihood of being seen as ideal representatives of the nation. These findings have implications for our understanding of immigrant integration and national identity.","2016-06-30","2018-11-27 13:17:46","2018-11-27 13:17:46","2018-11-27","232-263","","2","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
